contract_id,country,currency,exchange,primary_exch,sec_type,symbol
5,INDIA,INR,NSE,NULL,STK,ADANIPORTS
10,INDIA,INR,NSE,NULL,STK,AMARAJABAT
12,INDIA,INR,NSE,NULL,STK,APOLLOHOSP
13,INDIA,INR,NSE,NULL,STK,APOLLOTYRE
15,INDIA,INR,NSE,NULL,STK,ASIANPAINT
19,INDIA,INR,NSE,NULL,STK,AUROPHARMA
21,INDIA,INR,NSE,NULL,STK,BAJAJAUTO
22,INDIA,INR,NSE,NULL,STK,BAJFINANCE
23,INDIA,INR,NSE,NULL,STK,BAJAJFINSV
24,INDIA,INR,NSE,NULL,STK,BALKRISIND
25,INDIA,INR,NSE,NULL,STK,BALRAMCHIN
26,INDIA,INR,NSE,NULL,STK,BANDHANBNK
27,INDIA,INR,NSE,NULL,STK,BANKBARODA
29,INDIA,INR,NSE,NULL,STK,BERGEPAINT
31,INDIA,INR,NSE,NULL,STK,BHARATFORG
34,INDIA,INR,NSE,NULL,STK,BHARTIARTL
39,INDIA,INR,NSE,NULL,STK,CADILAHC
40,INDIA,INR,NSE,NULL,STK,CANFINHOME
42,INDIA,INR,NSE,NULL,STK,CHAMBLFERT
50,INDIA,INR,NSE,NULL,STK,COROMANDEL
52,INDIA,INR,NSE,NULL,STK,CUMMINSIND
60,INDIA,INR,NSE,NULL,STK,LALPATHLAB
9532,INDIA,INR,NSE,NULL,STK,GODREJPROP
9543,INDIA,INR,NSE,NULL,STK,HEROMOTOCO
9546,INDIA,INR,NSE,NULL,STK,HINDCOPPER
9548,INDIA,INR,NSE,NULL,STK,HINDUNILVR
9553,INDIA,INR,NSE,NULL,STK,ICICIPRULI
9554,INDIA,INR,NSE,NULL,STK,IDFCFIRSTB
9556,INDIA,INR,NSE,NULL,STK,IBULHSGFIN
9562,INDIA,INR,NSE,NULL,STK,INDUSTOWER
9563,INDIA,INR,NSE,NULL,STK,INDUSINDBK
9569,INDIA,INR,NSE,NULL,STK,JINDALSTEL
9574,INDIA,INR,NSE,NULL,STK,L&TFH
9578,INDIA,INR,NSE,NULL,STK,LAURUSLABS
9582,INDIA,INR,NSE,NULL,STK,M&MFIN
9583,INDIA,INR,NSE,NULL,STK,M&M
9584,INDIA,INR,NSE,NULL,STK,MANAPPURAM
9588,INDIA,INR,NSE,NULL,STK,METROPOLIS
9590,INDIA,INR,NSE,NULL,STK,MOTHERSUMI
9594,INDIA,INR,NSE,NULL,STK,MUTHOOTFIN
9595,INDIA,INR,NSE,NULL,STK,NATIONALUM
9596,INDIA,INR,NSE,NULL,STK,NAVINFLUOR
9599,INDIA,INR,NSE,NULL,STK,NAMINDIA
9602,INDIA,INR,NSE,NULL,STK,OBEROIRLTY
9606,INDIA,INR,NSE,NULL,STK,PERSISTENT
9610,INDIA,INR,NSE,NULL,STK,PIDILITIND
9624,INDIA,INR,NSE,NULL,STK,SRTRANSFIN
9636,INDIA,INR,NSE,NULL,STK,TATACONSUM
9637,INDIA,INR,NSE,NULL,STK,TATAMOTORS
9641,INDIA,INR,NSE,NULL,STK,FEDERALBNK
9646,INDIA,INR,NSE,NULL,STK,TORNTPHARM
9647,INDIA,INR,NSE,NULL,STK,TORNTPOWER
9650,INDIA,INR,NSE,NULL,STK,ULTRACEMCO
9652,INDIA,INR,NSE,NULL,STK,MCDOWELLN
9659,INDIA,INR,NSE,NULL,STK,ZEE
54361,INDIA,INR,NSE,NULL,STK,MOTHERSUM
55112,INDIA,INR,NSE,NULL,STK,NA-INDIA
